t	x	y	V_x	V_y	
0.01	0.069329	0.068339	6.9329	6.8339	
0.02	0.13734	0.13439	6.801	6.6048	
0.03	0.20409	0.19822	6.6749	6.3832	
0.04	0.26963	0.25991	6.5543	6.1688	
0.05	0.33402	0.31952	6.4388	5.961	
0.06	0.3973	0.37711	6.3282	5.7595	
0.07	0.45952	0.43275	6.2221	5.5638	
0.08	0.52072	0.48649	6.1204	5.3736	
0.09	0.58095	0.53837	6.0226	5.1886	
0.1	0.64024	0.58846	5.9288	5.0085	
0.11	0.69862	0.63679	5.8385	4.833	
0.12	0.75614	0.68341	5.7517	4.6619	
0.13	0.81282	0.72835	5.6681	4.4949	
0.14	0.8687	0.77167	5.5876	4.3318	
0.15	0.9238	0.8134	5.5101	4.1723	
0.16	0.97815	0.85356	5.4353	4.0163	
0.17	1.0318	0.8922	5.3631	3.8637	
0.18	1.0847	0.92934	5.2934	3.7141	
0.19	1.137	0.96501	5.2261	3.5676	
0.2	1.1886	0.99925	5.1611	3.4238	
0.21	1.2396	1.0321	5.0982	3.2827	
0.22	1.2899	1.0635	5.0374	3.1441	
0.23	1.3397	1.0936	4.9785	3.008	
0.24	1.3889	1.1223	4.9215	2.8741	
0.25	1.4376	1.1498	4.8663	2.7424	
0.26	1.4857	1.1759	4.8128	2.6128	
0.27	1.5333	1.2007	4.7609	2.4851	
0.28	1.5805	1.2243	4.7105	2.3594	
0.29	1.6271	1.2467	4.6616	2.2354	
0.3	1.6732	1.2678	4.6141	2.1131	
0.31	1.7189	1.2877	4.5679	1.9925	
0.32	1.7641	1.3065	4.523	1.8734	
0.33	1.8089	1.324	4.4793	1.7558	
0.34	1.8533	1.3404	4.4368	1.6396	
0.35	1.8972	1.3557	4.3953	1.5247	
0.36	1.9408	1.3698	4.355	1.4112	
0.37	1.9839	1.3828	4.3156	1.2989	
0.38	2.0267	1.3947	4.2771	1.1877	
0.39	2.0691	1.4054	4.2396	1.0778	
0.4	2.1111	1.4151	4.2029	0.96887	
0.41	2.1528	1.4237	4.1671	0.86103	
0.42	2.1941	1.4313	4.132	0.75421	
0.43	2.2351	1.4378	4.0977	0.64835	
0.44	2.2757	1.4432	4.064	0.54344	
0.45	2.3161	1.4476	4.031	0.43943	
0.46	2.356	1.451	3.9986	0.3363	
0.47	2.3957	1.4533	3.9668	0.23402	
0.48	2.4351	1.4546	3.9355	0.13257	
0.49	2.4741	1.4549	3.9048	0.031926	
0.5	2.5129	1.4543	3.8745	-0.067933	
0.51	2.5513	1.4526	3.8447	-0.16703	
0.52	2.5895	1.4499	3.8153	-0.26537	
0.53	2.6273	1.4463	3.7864	-0.36297	
0.54	2.6649	1.4417	3.7577	-0.45985	
0.55	2.7022	1.4361	3.7294	-0.55601	
0.56	2.7392	1.4296	3.7015	-0.65146	
0.57	2.7759	1.4222	3.6738	-0.74622	
0.58	2.8124	1.4138	3.6464	-0.84028	
0.59	2.8486	1.4044	3.6192	-0.93364	
0.6	2.8845	1.3942	3.5923	-1.0263	
0.61	2.9202	1.383	3.5655	-1.1183	
0.62	2.9556	1.3709	3.539	-1.2096	
0.63	2.9907	1.3579	3.5126	-1.3002	
0.64	3.0256	1.344	3.4863	-1.3901	
0.65	3.0602	1.3292	3.4602	-1.4793	
0.66	3.0945	1.3135	3.4342	-1.5679	
0.67	3.1286	1.297	3.4084	-1.6557	
0.68	3.1624	1.2795	3.3826	-1.7428	
0.69	3.196	1.2612	3.3569	-1.8291	
0.7	3.2293	1.2421	3.3312	-1.9148	
0.71	3.2623	1.2221	3.3057	-1.9997	
0.72	3.2951	1.2013	3.2801	-2.0839	
0.73	3.3277	1.1796	3.2547	-2.1673	
0.74	3.36	1.1571	3.2292	-2.25	
0.75	3.392	1.1338	3.2038	-2.3319	
0.76	3.4238	1.1096	3.1785	-2.413	
0.77	3.4553	1.0847	3.1531	-2.4934	
0.78	3.4866	1.059	3.1278	-2.5729	
0.79	3.5176	1.0325	3.1024	-2.6517	
0.8	3.5484	1.0052	3.0771	-2.7296	
0.81	3.5789	0.97709	3.0518	-2.8068	
0.82	3.6092	0.94826	3.0265	-2.8831	
0.83	3.6392	0.91867	3.0012	-2.9586	
0.84	3.669	0.88834	2.9759	-3.0332	
0.85	3.6985	0.85727	2.9506	-3.107	
0.86	3.7277	0.82547	2.9253	-3.1799	
0.87	3.7567	0.79295	2.9001	-3.252	
0.88	3.7855	0.75972	2.8748	-3.3233	
0.89	3.814	0.72578	2.8495	-3.3936	
0.9	3.8422	0.69115	2.8243	-3.4631	
0.91	3.8702	0.65583	2.799	-3.5317	
0.92	3.8979	0.61984	2.7738	-3.5994	
0.93	3.9254	0.58318	2.7486	-3.6663	
0.94	3.9527	0.54585	2.7234	-3.7322	
0.95	3.9796	0.50788	2.6983	-3.7973	
0.96	4.0064	0.46927	2.6732	-3.8615	
0.97	4.0329	0.43002	2.6481	-3.9248	
0.98	4.0591	0.39015	2.623	-3.9872	
0.99	4.0851	0.34966	2.598	-4.0487	
1	4.1108	0.30857	2.573	-4.1093	
1.01	4.1363	0.26688	2.5481	-4.169	
1.02	4.1615	0.2246	2.5232	-4.2278	
1.03	4.1865	0.18174	2.4984	-4.2857	
1.04	4.2112	0.13832	2.4737	-4.3427	
1.05	4.2357	0.094327	2.449	-4.3989	
1.06	4.26	0.049785	2.4243	-4.4542	
1.07	4.284	0.0046997	2.3998	-4.5085	
